CMUN,POP21
06066,1930
06067,2202
06068,476
06069,3509
06070,9171
06071,277
06073,823
06074,5697
06072,2760
06075,511
06076,960
06077,351
06078,536
06079,769
06080,2247
06081,1163
06082,489
06083,59424
06084,1247
06085,4267
06086,1365
06087,2312
06088,15483
06089,714
06090,933
06091,4392
06092,646
06093,5083
06094,1710
06095,11871
06096,255
06097,2627
06098,673
06099,1322
06100,870
06101,490
06102,1174
06103,5861
06104,719
06107,1839
06108,2665
06105,665
06106,469
06902,1989
06109,4576
06110,151
06111,607
06112,432
06113,3268
06114,130
06115,1442
06116,1692
06117,1608
06119,852
06123,5340
06118,163
06120,3957
06121,4094
06122,8064
06124,1834
06125,1852
06126,2575
06127,3355
06128,5311
06129,674
06130,211
06131,1235
06132,985
06133,2249
06134,617
06135,1389
06136,1761
06137,1088
06901,2731
06138,1170
06139,519
06140,715
06141,1931
06146,1160
06147,358
06148,1129
06142,278
06143,4157
06144,566
06145,1036
06149,12534
06150,910
06151,1231
06152,1472
06153,25837
06154,3335
06156,1332
06155,2103
06157,418
06158,16786
06159,2780
06160,3473
06162,3380
06161,296
07002,9477
07001,5741
07003,20651
07004,5963
07005,11571
07901,897
07006,7984
07007,542
07008,8895
07009,1084
07010,7037
07011,51567
07012,2684
07013,11425
07014,12003
07064,7530
07015,30638
07016,4243
07017,1379
07018,674
07026,50643
07019,181
07020,5134
07021,326
07022,18164
07023,4892
07024,11708
07025,682
07027,33726
07028,1465
07029,6250
07030,2385
07031,38224
07033,44809
07034,1569
07032,29578
07035,2242
07036,38357
07037,5444
07902,1500
07038,3087
07039,7515
07040,419366
07041,3028
07044,13873
07042,16969
07043,5624
07045,2057
07059,5010
07046,27205
07049,2185
07050,6635
07048,28299
07051,8920
07052,6877
07053,1724
07054,40038
07055,12767
07056,7507
07057,12342
07058,4126
07047,3542
07060,4122
07061,13491
07062,11835
07063,2042
07065,3558
08001,12620
08002,286
08014,2556
08003,9954
08004,269
08005,8787
08006,15942
08007,9191
08008,220
08009,12629
08010,5782
08011,2199
08012,2286
08013,1701
08015,223006
08904,13228
08016,2145
08017,3900
08018,3278
08252,33016
08019,1636732
08020,7356
08021,73
08022,16682
08023,9542
08024,455
08025,2177
08026,275
08027,1005
08028,1521
08029,4787
08030,7567
08031,3597
08034,1063
08033,17797
08032,3097
08035,19236
08037,2504
08038,2098
08036,194
08039,540
08040,14810
08041,16872
08042,3219
08043,4886
08044,5314
08045,84
08046,18609
08047,4593
08048,768
08049,1636
08057,72
08052,167
08050,171
08051,24659
08053,3853
08054,12610
08055,753
08056,67226
08058,2452
08060,163
08059,448
08061,2179
08062,1420
08063,653
08064,2632
08065,1597
08066,1996
