CMUN,POPULATION_PERC_NATURAL_GROWTH_2020
03057,0.0
03058,0.1495988032095743
03059,0.04436860068259386
03061,-0.17311021350259664
03062,-0.5706134094151213
03063,-0.2641820969453945
03064,0.0
03065,-0.020633624210119075
03066,-0.38173796278534433
03067,-1.9230769230769231
03068,0.0
03069,0.22972972972972971
03077,-0.49373338397265476
03070,-0.6215469613259669
03072,-0.5870841487279843
03071,-0.3392568659127625
03073,0.0
03074,0.306044376434583
03076,-0.5085176709890669
03078,-0.7763975155279503
03079,-0.19497308523714663
03080,0.20725388601036268
03082,-0.2107669774586504
03083,-0.7934175727299441
03085,-1.1173184357541899
03084,-0.7029876977152899
03086,-0.8620689655172413
03088,0.34206180702995986
03089,-0.8081141255050713
03903,-0.05890437855880621
03091,-1.1131725417439702
03092,0.10772379618657763
03090,-0.07857619926924135
03093,-0.4585717645214392
03094,-0.03380662609871535
03095,-0.16987542468856173
03096,-0.45051013647807076
03097,-0.8122743682310468
03099,-0.339290041964821
03098,-0.12690355329949238
03100,-1.1156186612576064
03101,-0.480830064532456
03102,-0.784390626532013
03103,-1.4336917562724014
03104,-0.17076402178713382
03902,-0.1904330083881206
03105,-0.3443187407771766
03106,-0.8645533141210375
03901,-0.48005908419497784
03107,-0.019829466587348802
03060,-0.8547008547008548
03109,0.4448398576512456
03110,-0.45662100456621
03111,-0.1031459515214028
03112,-1.0498687664041995
03113,-0.7183552142680208
03114,-0.6326611308817714
03115,-0.2331002331002331
03116,-0.9135200974421437
03118,-1.024265333495915
03904,0.32618825722274
03120,-0.6913504378552773
03122,0.07032710681143758
03117,-1.4534883720930232
03119,-0.28711366323256204
03121,-0.12345316128273714
03123,-0.38252466277431046
03124,-1.3793103448275863
03125,0.16778523489932887
03127,-0.9538950715421303
03128,-0.346082172331174
03129,-0.8264462809917356
03130,0.0
03131,-0.6116207951070336
03132,-1.0218978102189782
03133,-0.40270231283358177
03134,-1.2195121951219512
03136,-0.4016064257028112
03137,-2.8187919463087248
03135,-1.9230769230769231
03138,-1.0156580617858655
