CMUN,POPULATION_2020,POPULATION_DENSITY_KM2_2020,AGE_AVERAGE_2020,AGE_PERC_POP_BELOW_18_2020,AGE_PERC_POP_ABOVE_65_2020,HOUSING_AVERAGE_HOUSEHOLD_SIZE_2020,HOUSING_PERC_SINGLEPERSON_HOUSEHOLD_2020,NATIONALITY_PERC_SPANISH_2020,NATIONALITY_PERC_NONSPANISH_2020
03002,4880,73.35091382150311,43.9,17.2,20.3,2.57,26.9,91.9,8.099999999999994
03003,581,22.530271752714246,47,13.3,25.5,2.16,40.2,92.1,7.900000000000006
03004,1046,56.71874569925792,44.4,16.1,18.8,2.3,33.6,73.5,26.5
03005,12670,206.16080909842208,39.4,21.4,15.2,2.77,24.2,78.8,21.200000000000003
03006,1336,92.97028581440827,55.5,8,41.6,2.1,31.2,42.1,57.9
03007,243,55.492277574474706,47.7,9.9,23.5,2.31,28.6,85.2,14.799999999999997
03008,183,12.591546565300426,55,9.3,37.2,2.06,41.6,96.1,3.9000000000000057
03009,58695,452.8113462298837,44.2,16.7,21.1,2.41,30.7,92.6,7.400000000000006
03010,408,20.66898000334929,47.4,14,25.3,2.4,31.2,94.9,5.099999999999994
03011,19299,976.3797335518572,46.2,15.2,25.1,2.51,28.8,48.6,51.4
03012,3418,185.27456324843152,49.7,13.6,32,2.22,28.5,42.1,57.9
03013,1341,72.69919596128796,46.1,16.6,25.8,2.41,28.8,93.3,6.700000000000003
03014,334353,1892.7094636996758,42.9,17.6,19.2,2.51,30.5,85.4,14.599999999999994
03015,21190,496.93664024131454,39.4,21.9,14.9,2.78,24.8,76.3,23.700000000000003
03016,118,13.403452767674617,50.6,12.7,37.3,2.03,48.3,82.9,17.099999999999994
03017,499,461.2525829523724,42.1,16.2,14.2,2.47,26.7,93.8,6.200000000000003
03018,22335,643.3962440254109,44.6,15.5,20.8,2.48,30.4,66.4,33.599999999999994
03019,20982,298.0104984627336,41.3,19.8,17.2,2.65,24.9,92.6,7.400000000000006
03020,134,11.938241753984917,52.2,8.2,31.3,2,49.3,88.1,11.900000000000006
03021,7046,140.40334394765873,43.7,17.6,21.2,2.45,33.4,94.3,5.700000000000003
03022,167,18.50654175808732,53.3,10.2,38.3,2.2,32.9,94.7,5.299999999999997
03023,1712,49.162287520380616,46.2,15.5,24.2,2.43,32,95,5
03024,5405,580.1908491679246,42.2,18.4,18.6,2.78,23.2,87,13
03025,1927,156.0015394846367,41.6,19.5,17.4,2.57,27.4,86.2,13.799999999999997
03026,2186,295.8611101426526,43.7,16.5,20.4,2.43,29.7,77.4,22.599999999999994
03027,189,12.029694144669058,50.7,13.8,32.3,2.2,39.5,87.5,12.5
03028,1085,53.77825263899608,51.4,9.1,30.1,2.21,36.1,95.4,4.599999999999994
03029,463,25.13553513758348,54.1,10.4,36.9,2.09,37.4,56.7,43.3
03030,1080,144.57660614320787,49.3,12.3,28.2,2.28,33,58.4,41.6
03031,67159,1747.0522586068346,44.5,14.8,21.1,2.25,39.5,70.8,29.200000000000003
03032,102,7.465067489759243,53.3,6.9,27.5,1.96,42.3,99,1
03033,134,11.299174462349452,50.5,10.5,29.1,2.03,33.3,84.4,15.599999999999994
03034,3243,744.69699486352,48.5,13.4,29.7,2.38,24.4,51.9,48.1
03035,737,77.41147502074952,51.1,10.5,32.7,2.27,30.9,95.4,4.599999999999994
03036,102,30.24464556591438,45.7,13.7,18.6,2.55,37.5,98,2
03037,490,12.94249715189713,47,12.5,23.5,2.15,42.5,78.2,21.799999999999997
03038,398,71.67244379165392,51.6,10.6,29.7,2.12,36.2,92.2,7.799999999999997
03039,96,10.110309380226736,54.6,3.1,34.4,1.71,51.8,93.8,6.200000000000003
03040,376,107.48973789607844,50.3,12.8,28.7,2.41,26.9,74,26
03041,11104,159.57957019482606,45.7,15.4,23.5,2.41,32.1,65.1,34.900000000000006
03042,4400,347.41400772140753,49,13.4,31.6,2.25,31.3,40.2,59.8
03043,3634,37.08570817578931,44.5,17.1,21.6,2.46,29.2,96.3,3.700000000000003
03044,6955,1699.2591306019706,40.5,19.9,15.7,2.74,23.2,83.3,16.700000000000003
03045,424,31.29898329557638,49.9,9,29,2.37,28.5,57.8,42.2
