,CTOT,CMUN,Municipality,CCI,Digitalization,Energy_Climate_Resources,Mobility,Waste
5187,0802055,02055,Nerpio,0.5609243847342765,0.6046219236713827,0.3333333333333333,0.2,1.0
5188,0802044,02044,Liétor,0.4723076923076923,0.6615384615384615,0.3333333333333333,0.2,0.6666666666666666
5189,0802056,02056,Ontur,0.5753846153846154,0.676923076923077,0.3333333333333333,0.2,1.0
5190,0802045,02045,Madrigueras,0.5723076923076924,0.6615384615384615,0.3333333333333333,0.2,1.0
5191,0802046,02046,Mahora,0.4707692307692307,0.6538461538461539,0.3333333333333333,0.2,0.6666666666666666
5192,0802047,02047,Masegoso,0.37230769230769234,0.6615384615384615,0.3333333333333333,0.2,0.3333333333333333
5193,1106020,06020,Bienvenida,0.45317012571529836,0.9408506285764917,0.7499999999999999,0.2,0.0
5194,0802048,02048,Minaya,0.4238461538461539,0.6692307692307692,0.3333333333333333,0.2,0.5
5195,0802049,02049,Molinicos,0.5367829637190312,0.6615384615384615,0.3333333333333333,0.27237635705669483,0.8333333333333333
5196,0802050,02050,Montalvos,0.23076923076923078,0.6538461538461539,0.3333333333333333,0.0,0.0
5197,0802051,02051,Montealegre Del Castillo,0.5767902166528269,0.6692307692307692,0.3333333333333333,0.21472031403336603,1.0
5198,1726174,26174,Villarta-Quintana,0.4207692307692308,0.6538461538461539,0.3333333333333333,0.2,0.5
5199,0802052,02052,Motilleja,0.4207692307692308,0.6538461538461539,0.3333333333333333,0.2,0.5
5200,0802053,02053,Munera,0.4723076923076923,0.6615384615384615,0.3333333333333333,0.2,0.6666666666666666
5201,0816140,16140,Olmeda De La Cuesta,0.34076923076923077,0.9538461538461538,0.3333333333333333,0.0,0.16666666666666666
5202,1003107,03107,Polop,0.7478470811569977,0.9523987516125683,0.9166666666666665,0.4118366541724206,0.6666666666666666
5203,0802060,02060,Peñas De San Pedro,0.4207692307692308,0.6538461538461539,0.3333333333333333,0.2,0.5
5204,0802057,02057,Ossa De Montiel,0.4751245373612083,0.6756226868060418,0.3333333333333333,0.2,0.6666666666666666
5205,0802058,02058,Paterna Del Madera,0.4223076923076924,0.6615384615384615,0.3333333333333333,0.2,0.5
5206,0802059,02059,Peñascosa,0.4207692307692308,0.6538461538461539,0.3333333333333333,0.2,0.5
5207,0802061,02061,Pétrola,0.4707692307692307,0.6538461538461539,0.3333333333333333,0.2,0.6666666666666666
5208,0802062,02062,Povedilla,0.3253105413105413,0.6765527065527066,0.3333333333333333,0.2,0.16666666666666666
5209,0802066,02066,La Recueja,0.4223076923076924,0.6615384615384615,0.3333333333333333,0.2,0.5
5210,0802063,02063,Pozohondo,0.6369230769230769,0.9846153846153846,0.3333333333333333,0.2,1.0
5211,0802064,02064,Pozo-Lorente,0.4207692307692308,0.6538461538461539,0.3333333333333333,0.2,0.5
5212,0802065,02065,Pozuelo,0.5238461538461539,0.6692307692307692,0.3333333333333333,0.2,0.8333333333333333
5213,1726175,26175,Villavelayo,0.4407692307692308,0.9538461538461538,0.3333333333333333,0.0,0.5
5214,0802068,02068,Robledo,0.6098819594727523,0.6692307692307692,0.3333333333333333,0.6301790281329923,0.8333333333333333
5215,0802069,02069,La Roda,0.473238211946189,0.6661910597309448,0.3333333333333333,0.2,0.6666666666666666
5216,0816031,16031,Beamud,0.3807692307692308,0.6538461538461539,0.3333333333333333,0.5,0.16666666666666666
5217,0802067,02067,Riópar,0.47484546262466665,0.6742273131233336,0.3333333333333333,0.2,0.6666666666666666
5218,1012029,12029,Benlloc,0.681067966167366,0.9495258773484581,0.3333333333333333,0.45581395348837206,1.0
5219,0802083,02083,Villavaliente,0.4223076923076924,0.6615384615384615,0.3333333333333333,0.2,0.5
5220,0816153,16153,El Pedernoso,0.5799735086342229,0.9498675431711145,0.3333333333333333,0.2,0.8333333333333333
5221,0816154,16154,Las Pedroñeras,0.7593957119903594,0.9719785599517974,0.7499999999999999,0.2,1.0
5222,0802070,02070,Salobre,0.5106718281718282,0.6533591408591408,0.3333333333333333,0.4,0.6666666666666666
5223,0802071,02071,San Pedro,0.4238461538461539,0.6692307692307692,0.3333333333333333,0.2,0.5
5224,0802072,02072,Socovos,0.5688131868131868,0.676923076923077,0.3333333333333333,0.41714285714285715,0.8333333333333333
5225,0802073,02073,Tarazona De La Mancha,0.4738461538461538,0.6692307692307692,0.3333333333333333,0.2,0.6666666666666666
5226,0802074,02074,Tobarra,0.5761647480071612,0.676923076923077,0.3333333333333333,0.20390066311272914,1.0
5227,1012031,12031,Borriol,0.5804581759439521,0.959063214013709,0.3333333333333333,0.4432276657060519,0.6666666666666666
5228,0802075,02075,Valdeganga,0.616927817944767,0.6692307692307692,0.3333333333333333,0.41540832049306625,1.0
5229,0802076,02076,Vianos,0.3607692307692308,0.6538461538461539,0.3333333333333333,0.4,0.16666666666666666
5230,0802077,02077,Villa De Ves,0.4192307692307693,0.6461538461538461,0.3333333333333333,0.2,0.5
5231,0802078,02078,Villalgordo Del Júcar,0.4723076923076923,0.6615384615384615,0.3333333333333333,0.2,0.6666666666666666
5232,0802079,02079,Villamalea,0.4723076923076923,0.6615384615384615,0.3333333333333333,0.2,0.6666666666666666
5233,0802080,02080,Villapalacios,0.4623076923076923,0.6615384615384615,0.3333333333333333,0.4,0.5
5234,0802081,02081,Villarrobledo,0.5752622209252376,0.6751100476960896,0.3333333333333333,0.20120105693009846,1.0
5235,0802082,02082,Villatoya,0.3278632478632479,0.6615384615384615,0.3333333333333333,0.47777777777777775,0.0
5236,0802084,02084,Villaverde De Guadalimar,0.44852881966926395,0.6124639181661398,0.3333333333333333,0.3801801801801802,0.5
5237,0813030,13030,Caracuel De Calatrava,0.31878300803673937,0.6439150401836968,0.3333333333333333,0.2,0.16666666666666666
5238,0813031,13031,Carrión De Calatrava,0.610290627990697,0.6514531399534853,0.3333333333333333,0.4,1.0
5239,0802085,02085,Viveros,0.5207692307692308,0.6538461538461539,0.3333333333333333,0.2,0.8333333333333333
5240,0802086,02086,Yeste,0.4712829346432541,0.6330410853705362,0.3333333333333333,0.2233735878457343,0.6666666666666666
5241,1012039,12039,Castellnovo,0.7323076923076922,0.9615384615384615,0.9999999999999999,0.2,0.6666666666666666
5242,1012040,12040,Castelló De La Plana,0.5063542972003596,0.9692256400904131,0.7499999999999999,0.43754584591138485,0.0
