CMUN,INCOME_PERC_UNEMPLOYMENT_BENEFITS_OF_AVERAGE_SALARY_2020
05123,5.814469596094097
05124,
05125,
05126,
05127,11.070042506006283
05128,7.153502235469449
05129,5.3259271360888745
05130,3.726863431715858
05131,
05132,11.0935960591133
05133,
05134,
05135,6.479322616271935
05136,
05138,4.931870252019776
05139,
05140,3.9857756704696987
05141,
05142,
05143,
05144,
05145,
05147,9.070397111913357
05148,
05149,15.54013875123885
05151,
05152,9.576188935619541
05153,
05154,
05155,
05156,8.323650575683955
05157,4.367009842742392
05158,8.317445185891327
05159,10.46894803548796
05160,9.645669291338582
05161,9.174140508221226
05162,
05163,12.988721804511277
05164,
05165,9.346485819975339
05166,6.336753168376584
05167,6.250748413363668
05168,10.085910652920962
05169,10.72291395651366
05170,
05171,
05172,8.502673796791443
05173,
05174,
05175,6.010685663401603
05176,5.688347506320386
05177,7.009838369641602
05178,7.400288322921672
05179,6.019381289601192
05180,
05181,
05182,14.96299722479186
05183,5.688128470658863
05184,5.997506234413965
05185,11.568428184281842
05186,8.14086814086814
05187,15.30675480272671
05188,
05189,17.48878923766816
05190,
05191,6.137303556658395
05192,7.100591715976331
05193,8.858267716535433
05194,9.80269989615784
05195,8.580199539524175
05196,
05197,7.031479847013827
05198,
05199,
05200,
05201,7.804811372334609
05204,6.610145135795372
05205,
05206,
05207,16.018306636155607
05208,
05209,
05210,
05211,13.190314358538657
05212,9.602704987320372
05213,
05214,
05215,7.328054649899084
05216,9.121479613282892
05217,
05218,12.14534594325535
05219,
05220,9.106213651668197
05221,14.136807817589577
05222,8.450955869215651
05224,3.3324228352909038
05225,13.138686131386862
05226,
05227,11.441523118767
05228,8.23499230374551
05229,
05230,
05231,11.2040742088032
05232,6.775543258199487
05233,12.451696006869902
05234,
05235,6.556625401192114
05236,16.4983164983165
05237,4.8211815846670625
05238,6.521739130434782
05239,8.0183435241801
05240,12.39226201877035
05241,10.962007668177066
05242,11.15102529561443
05243,
05244,
05245,7.1913614605365686
05246,
05247,9.51115834218916
05249,9.316291961810903
05251,
05252,
05253,
05254,11.36058338130877
05256,6.018289668808699
05257,10.529779532741033
05258,5.8548850574712645
05259,6.692685747325816
05260,11.65991902834008
05261,
05262,12.750908048174345
05263,12.616043799095452
05264,
05265,
05266,
05267,
