CMUN,AGRI_LIVESTOCKUNITS_DENSITY_KM2_2020,AGRI_CATTLEFARMS_DENSITY_KM2_2020
18109,0.0,0.0
18120,0.0,0.0
18124,0.0,0.0
18133,0.0,0.0
18140,0.0,0.0
18148,0.0,0.0
18162,0.0,0.0
18170,0.0,0.0
18173,0.0,0.0
18177,0.0,0.0
18916,0.0,0.0
18184,0.0,0.0
18016,0.0,0.0
18904,0.0,0.0
18030,4.397612065721452,0.14366586297685238
18032,0.0,0.0
18033,0.0,0.0
18035,0.0,0.0
18040,0.0,0.0
18042,4.341787214216125,0.05271291640084328
18043,0.0,0.0
18044,0.0,0.0
18112,0.0,0.0
18116,1.8988108868696576,0.049663754669651027
18121,0.0,0.0
18141,0.0,0.0
18903,0.0,0.0
18147,0.30473011422614027,0.029802456159035724
18151,0.0,0.0
18163,0.0,0.0
18176,0.0,0.0
18901,0.0,0.0
18179,0.0,0.0
18180,8.740129818212619,0.18684885174750315
18181,0.0,0.0
18182,0.0,0.0
18183,0.0,0.0
18007,0.0,0.0
18071,0.0,0.0
18119,0.0,0.0
18143,0.0,0.0
18150,0.0,0.0
18910,0.0,0.0
18902,0.0,0.0
18908,0.0,0.0
21001,16.927194613041884,0.2897251966288726
21004,1.6239962675698116,0.06853619391240334
21007,14.35324452156539,0.22250568110412167
21008,6.777893603736992,0.13263979655062605
21009,25.324678067274657,0.5641778701052322
21016,24.72076411893419,0.5247810205206275
21020,22.720385685318757,0.374306189214477
21022,0.0,0.0
21024,9.35651551351146,0.16300549675107076
21025,2.320586432363911,0.06940936487628847
21026,12.882837128610543,0.20058913396046002
21027,33.50037717433848,0.6649832257808698
21028,15.788630677564207,0.23545481952593666
21029,23.58491858684894,0.4692778857996962
21031,14.727176640342947,0.19160601759142087
21033,0.0,0.0
21034,0.0,0.0
21038,8.07062863641825,0.3270771483857447
21039,15.678639703622165,0.4872634858883293
21043,4.3151075472473135,0.16071164049338224
21045,0.0,0.0
21048,0.0,0.0
21051,17.98729819050354,0.3116814095937686
21059,9.789113719167926,0.2525571134976245
21062,5.110108808587725,0.13875763618824347
21067,8.356309302410368,0.18837487156019764
21069,14.406998863926049,0.26637606610011866
21071,0.0,0.0
21079,11.077092658489214,0.16451854896575946
21003,0.0,0.0
21006,3.8993626043269174,0.047131699488238324
21010,0.8293744631508005,0.04238711055285181
21015,0.0,0.0
21023,2.6855675458975563,0.04197292335343928
21037,0.0,0.0
21057,3.1480871885929003,0.02812885053098645
21058,5.000323469043067,0.04759946186618817
21063,0.0,0.0
21066,0.0,0.0
21065,0.7736629863812837,0.04153895228892798
21068,3.2509922811393115,0.04779866827972103
21073,0.0,0.0
21075,0.0,0.0
21076,3.07379567183501,0.045475956185452006
21012,0.0,0.0
21017,0.0,0.0
21018,0.0,0.0
21019,8.57496621414313,0.383476749949258
21036,1.410601850650014,0.08956202226349294
21049,0.0,0.0
21052,0.0,0.0
21072,2.009672547547529,0.05033332883201917
21078,7.870827006137352,0.15920127015128513
21902,0.0,0.0
21002,0.0,0.0
21021,0.0,0.0
21035,4.297319163989393,0.042653291950266924
21041,0.0,0.0
21042,0.0,0.0
21044,0.2040029053604486,0.023538796772359455
21060,0.0,0.0
21011,3.1514473354381827,0.06915618467057676
21013,0.0,0.0
21014,0.0,0.0
21030,0.0,0.0
21032,0.43905050060390255,0.02224918077384641
21047,0.0,0.0
21053,3.627683227193956,0.04474202302903251
21054,0.0,0.0
21056,0.0,0.0
21061,0.0,0.0
21064,0.0,0.0
21070,5.499618923386415,0.07631293603218892
21074,0.0,0.0
21077,0.0,0.0
21005,3.0647658729029694,0.03143707870540999
21040,6.199641812102115,0.04689119966797687
21046,0.0,0.0
21050,0.0,0.0
21055,0.0,0.0
23004,0.0,0.0
23005,2.0479053777233567,0.015588440406906703
23011,7.146034767517291,0.06892296160711826
23021,10.216570790145882,0.1537868157071633
23024,7.134456089379476,0.10941654511421992
23039,0.0,0.0
