CTOT,M1_surface
0111012,512493.9828005119
0111013,7076.9075566206475
0111014,1355774.120369654
0111015,1465290.9810971012
0111016,455194.93875430524
0111017,6786.64092580465
0111018,0.0
0111019,8527.413520152808
0111020,1637291.1919959139
0111021,6918.54422188432
0111022,232693.57146795088
0111023,139404.25789574048
0111024,53038.18908654652
0111025,34342.99095028224
0111026,16121.08210214912
0111027,540312.6083529103
0111028,1234721.0621072347
0111029,19529.50733121563
0111030,661576.7551217692
0111031,544419.9186262335
0111032,718132.8825753795
0111033,131682.35665254292
0111034,2509.4151633645924
0111035,115670.13985737674
0111036,1488.7976905325734
0111037,130944.32686077137
0111038,79964.20254086923
0111039,31200.43474831372
0111040,361.99283727238014
0111041,108098.69860796245
0111042,2364.0127836268675
0111901,34522.167002191534
0111902,19933.43229210383
0111903,10232.17038238063
0114001,52077.93275992049
0114003,49415.46247326497
0114004,17790.813539059756
0114005,66333.51898216127
0114006,42382.31389927174
0114007,95485.95438105857
0114008,33144.43630995746
0114009,28015.988129120517
0114010,48324.15793959365
0114011,18577.569156956524
0114012,40706.4446590581
0114013,119150.0578315833
0114014,27031.948114725983
0114015,6569.548698911131
0114016,24791.865472553483
0114017,195668.74059213148
0114018,30788.14966648817
0114019,60227.2212020136
0114020,2737.1002118301935
0114021,4115664.762176863
0114022,32331.934920838998
0114023,40551.80398692962
0114024,20223.682371715364
0114025,15988.65284974484
0114026,11578.831545068937
0114027,89071.52604301627
0114028,6381.712595994027
0114029,6100.636401364387
0114030,325100.9798980226
0114031,3694.251448109343
0114032,6756.46574242163
0114033,108248.41308453448
0114034,3662.936938947347
0114035,71209.0608196562
0114036,68795.65016595267
0114037,9784.361010650335
0114038,274323.73017877585
0114039,3783.446626969715
0114040,59830.57015165426
0114041,164479.04848180962
0114042,127151.83127208492
0114043,43477.15006321631
0114044,10793.902076403658
0114045,23604.17398227488
0114046,44230.52603429133
0114047,10315.013851314048
0114048,10273.064337228227
0114049,172682.17939549912
0114050,19664.516062667582
0114051,27775.290949956314
0114052,73784.93975159782
0114053,3932542.291710704
0114054,165755.27815666143
0114055,112444.52857123937
0114056,360343.5265965539
0114057,135284.45445729734
0114058,34596.7507444743
0114059,8083.093635973287
0114060,41583.19676410173
0114061,8997.43793223014
0114062,116370.48509593119
0114063,19014.784092433234
0114064,16163.047577858155
0114065,15416.234902418424
0114066,61465.02324099694
0114067,10037.327755705022
0114068,5506.597391928682
0114069,67076.09646054209
0114070,52077.91923074863
0114071,10319.666952356078
0114072,13614.196685821207
0114073,19456.62768259619
