CTOT,M3_length
0123060,25.131028885949085
0123069,2.47815424334084
0123071,5.373439637394734
0123072,17.155696813396247
0123080,15.69228232713583
0123081,0.7935812383741048
0123085,5.240803593133485
0123086,12.0712221781444
0123087,9.57320812104942
0123088,8.115195511789238
0123092,21.133794415788966
0123101,5.822616373217684
0123905,1.8746134876293752
0129005,0.8956154502872768
0129007,13.360791724964741
0129008,1.455162297656738
0129015,1.572798219708309
0129025,7.295334581045616
0129032,1.0543049304679246
0129038,1.4670077640121975
0129041,0.05114339898420916
0129042,2.3977011019905436
0129051,13.58602794477661
0129054,5.244700821352648
0129067,93.15996272064554
0129068,0.5896675933897693
0129069,16.37438876408982
0129070,6.341545891976866
0129075,1.1374380436594755
0129080,0.08564163445923705
0129082,5.26353449138594
0129091,0.4461901468537878
0129094,32.51359931303009
0129901,13.387381381350249
0141002,2.103123739918345
0141004,0.8934618260818156
0141005,1.5303419016689077
0141007,1.0588109011914006
0141010,6.940191180808421
0141011,0.09120793855604122
0141012,5.896866509474924
0141013,4.118470118506929
0141014,1.2007108085738525
0141016,8.094867200186973
0141017,17.389194854666826
0141021,9.824221972086198
0141024,2.996875039733865
0141028,2.7820720502468808
0141029,3.2889899595152623
0141032,0.8200583435073264
0141033,6.433619965406642
0141034,11.03065660018528
0141035,10.70790634090996
0141038,62.930705688115395
0141039,4.211424409862037
0141040,20.030613168105525
0141042,1.69652915302544
0141044,0.1427489077285852
0141047,4.880581559133908
0141049,1.5431192314877784
0141053,0.16310197498723922
0141058,7.891489163044384
0141059,28.765565857508246
0141060,2.3330831115756268
0141064,2.8820254921535677
0141065,3.058804617746312
0141067,4.427634721366252
0141069,4.67079517388837
0141070,7.330901614861928
0141076,1.8002062859308592
0141079,2.8847197600582675
0141081,39.94304399452479
0141085,12.75527669297256
0141086,4.135652264766468
0141087,2.208690176320307
0141088,14.589486453510721
0141089,3.8085330009902387
0141091,185.0367679391412
0141093,6.190367748133476
0141095,9.891147561943807
0141096,9.774399109019038
0141098,2.2221818441265913
0141102,1.7483367603814126
0222016,7.915574698785623
