CMUN,M4
03082,0.042883179073008613
03083,0.0
03085,0.0
03084,0.0
03086,0.0
03088,0.0
03089,0.02461437479488021
03903,0.01951981260979895
03091,0.36429872495446264
03092,0.09650439631138752
03090,0.15576930565832003
03093,0.011713716762328687
03094,0.07179147338193063
03095,0.1271186440677966
03096,0.01321178491214163
03097,0.08956560680698611
03099,0.06207246009627566
03098,0.0
03100,0.0
03101,0.012490632025980514
03102,0.009765625
03103,0.0
03104,0.0264635831691611
03902,0.05310439438863566
03105,0.0
03106,0.0
03901,0.0735023888276369
03107,0.03945551390806865
03060,0.8547008547008548
03109,0.021753317380900587
03110,0.2985074626865672
03111,0.0
03112,0.0
03113,0.012517211165352359
03114,0.0
03115,0.234192037470726
03116,0.0
03118,0.10654670297146918
03904,0.0
03120,0.03052037234854265
03122,0.23594513851167842
03117,0.5698005698005698
03119,0.1723925624923039
03121,0.11713716762328688
03123,0.010065425264217413
03124,0.17301038062283738
03125,0.0
03127,0.0
03128,0.06105006105006105
03129,0.0
03130,0.0
03131,0.6116207951070336
03132,0.0
03133,0.22693802660486226
03134,0.0
03136,0.0
03137,0.11862396204033215
03135,0.0
03138,0.12394133443503408
03139,0.037481259370314844
03140,0.00881704628949302
03081,0.06915629322268327
04001,0.1589825119236884
04002,0.0
04003,0.02352848907885965
04004,0.0
04005,0.16339869281045752
04006,0.024855012427506214
04007,0.11778563015312131
04008,0.18450184501845018
04009,0.7751937984496124
04010,0.14814814814814814
04011,0.0
04012,0.9803921568627451
04013,0.16139235777298472
04014,0.0
04015,0.7633587786259541
04016,0.0
04017,0.0
04018,0.0
04019,0.0
04904,0.0
04020,0.31545741324921134
04021,0.0
04022,0.0
04023,0.0
04024,0.13256738842244808
04026,1.694915254237288
04027,0.38022813688212925
04028,0.41841004184100417
04029,0.0
04030,0.0
04031,0.0
04032,0.012220457045093485
04033,0.0
04036,0.0
04037,0.0
04034,0.5882352941176471
04035,0.0
04038,0.19502681618722573
04902,0.0035712159990476757
04041,0.1851851851851852
04043,0.0
04044,0.0
04045,0.0
04046,0.0
04047,0.03324468085106383
04048,0.0
04049,0.010126582278481013
04050,0.0
04051,0.0
04052,0.08901746967842439
04053,0.01012965964343598
04054,0.0
04055,0.0
04056,0.0
04057,0.0
04058,0.0
04059,0.0
04060,0.17123287671232876
04061,0.0
04062,0.0
04063,0.0
04064,0.31693537274355793
04903,0.0
04065,0.0
04066,0.0794710407527497
04067,0.0
04068,0.0
04069,0.06391818472355384
04070,0.0
04071,0.22935779816513763
04072,0.0
04073,0.0
04074,0.12068549360366883
04075,0.009669309611293753
04076,0.0
04077,0.0
04078,0.06720430107526883
04079,0.0
04080,0.49261083743842365
04081,0.0
04082,0.6872852233676976
04083,0.0
04084,0.0
04085,0.0
04086,0.04046944556859571
04087,0.0
04088,0.12863390789812193
04089,0.0
04090,0.28653295128939826
04091,0.2688172043010753
04092,0.0
04901,0.1773049645390071
04093,0.0
04094,0.38461538461538464
04095,0.24509803921568626
04096,0.0
04097,0.0
04098,0.0
04099,0.0
04100,0.0903954802259887
04101,0.11591323066732903
04102,0.0
04103,0.0
01051,0.03976933784052495
01001,0.10256410256410256
01002,0.06791500921703697
01049,2.5806451612903225
01003,0.6181318681318682
01006,0.4329004329004329
01037,1.25
01008,0.688298918387414
01004,0.6633499170812603
01009,0.4898958971218616
01010,0.9827177228058285
01011,0.6968641114982579
01013,1.675977653631285
01014,0.21505376344086022
01016,1.1152416356877324
01017,0.46253469010175763
01021,1.2618296529968454
01022,0.2008032128514056
01023,0.6116207951070336
01047,0.14074595355383532
01046,0.48426150121065376
01056,0.0
01901,0.3748558246828143
01027,2.6465028355387523
01019,0.5714285714285714
01020,0.0
01028,0.19582245430809397
01030,2.3391812865497075
01031,0.819672131147541
01032,0.7225433526011561
01902,0.6557377049180327
01033,0.2331002331002331
01036,0.04997501249375312
01058,0.2508780732563974
01034,1.82648401826484
01039,0.4784688995215311
01041,1.015228426395939
01042,1.9230769230769231
01043,0.17554125219426564
01044,0.6688963210702341
01052,0.6493506493506493
01053,2.2346368715083798
01054,0.21216407355021216
01055,1.4299332697807436
01057,0.6968641114982579
01059,0.16555179321435204
01060,0.7518796992481203
01061,1.0416666666666665
01062,0.6944444444444444
01018,0.8324084350721421
01063,0.30198446937014667
33001,0.12345679012345678
33002,0.08699014111734003
33003,0.0
33004,0.11707469365455161
33005,0.27797081306462823
33006,0.2365464222353637
33007,0.0
33008,0.5149330587023687
33009,0.0
33010,0.0
33012,0.27441485068603716
33011,0.0
33013,0.591715976331361
33014,0.23328149300155523
33015,0.3469812630117973
33016,0.20628727745638817
33017,0.05997001499250374
33018,0.0
33019,0.0927070457354759
33020,0.3468208092485549
33021,0.10064412238325281
33022,0.0
33023,0.052910052910052914
33024,0.1993335713435678
33025,0.08643872454859777
33026,0.11406055578598091
33027,0.12626262626262627
33028,0.0
33029,0.0
33030,0.0
33031,0.11374505596773778
33032,0.0
33033,0.04718761796904492
33035,0.2683103698332125
33036,0.05142899125707149
33037,0.04861448711716091
33038,0.0
33039,0.0
33040,0.0
33041,0.02409058058299205
33042,0.07823195775474281
33043,0.9602194787379973
33044,0.24316025593881002
33045,0.01889644746787604
33046,0.5859375
33047,0.2411575562700965
33048,0.0
33049,0.08669267446900737
33050,0.0
33051,0.0
33052,2.0775623268698062
33053,0.9942004971002486
33054,0.05327650506126798
33055,0.23201856148491878
33056,0.15828350334154062
33057,0.21609940572663425
33058,0.0
33059,0.08200082000820008
33061,0.0
33060,0.05745292052345995
33063,0.47732696897374705
33062,0.0
33064,2.888086642599278
33065,0.0
33066,0.062005890559603156
33067,0.0
33068,0.2717391304347826
33069,0.05194805194805195
33070,0.0
33071,1.8581081081081081
33072,0.3787878787878788
33073,0.02198768689533861
33034,0.06205123659250067
33074,0.02554931016862545
33075,0.36363636363636365
33076,0.20848745712556327
33077,0.0
33078,0.78125
05001,1.0204081632653061
05002,0.0
05005,0.0
05007,0.0
05008,0.45662100456621
05010,0.0
05012,0.0
05013,0.0
05014,0.0
05015,0.0
05016,0.02537749016622256
05017,0.0
05018,0.0
05019,0.16221159985504496
05021,0.0
05022,0.05068423720223011
05023,0.0
05024,0.0
05025,0.0
05026,0.0
05027,0.0
05029,0.0
05030,0.0
05033,0.0
05034,0.0
05035,0.0
05036,0.0
05037,0.0
05038,0.0
05039,0.0
05040,0.0
05041,0.0
05042,0.0
05043,1.4705882352941175
05044,0.0
05045,0.0
05046,2.564102564102564
05047,0.0
05048,0.0
05049,0.0
05051,0.0
05052,0.0
05053,0.0
05054,0.0
05055,0.0
05056,0.0
05057,0.030807147258163897
05058,0.0
05067,0.0
05059,0.0
05060,0.0
05061,0.0
05062,0.0
05063,0.0
05064,0.0
05065,0.4048582995951417
05066,0.0
05903,0.0
