CTOT,ECR4
1110117,10.222222222222221
1110118,10.705882352941176
1110119,10.717703349282298
1110120,10.69811320754717
1531023,11.341463414634147
1531032,14.044117647058824
1531029,11.473684210526315
1531030,11.166666666666666
1531031,9.583333333333334
1531036,11.636363636363637
1531037,9.833333333333334
1553083,10.5
1531064,12.96551724137931
1110134,9.790322580645162
0111040,12.573770491803279
0111041,17.696682464454977
1726022,12.0
0111042,14.887323943661972
0111901,16.816666666666666
0111902,16.088495575221238
0111903,16.217391304347824
0114001,14.712166172106825
0114002,19.29940119760479
0114003,13.392045454545455
0114004,17.719298245614034
0114005,17.22543352601156
1110123,10.869565217391305
1232067,8.561643835616438
1110132,10.224137931034482
0114048,19.0
0114009,13.228155339805825
0114049,18.649484536082475
0118036,30.0
0114010,18.96153846153846
0114018,19.0
0114019,18.8
1110133,10.061946902654867
0114024,19.419354838709676
0114025,19.263157894736842
0114026,12.787528868360278
0114027,19.774193548387096
0114028,14.285714285714286
0114029,13.429530201342281
0114030,19.176470588235293
1648003,12.526315789473685
0114011,13.223300970873787
0114050,19.434782608695652
1110135,9.563829787234043
0114051,13.975206611570249
1648078,16.0
1648079,10.894736842105264
1110138,12.425
1648043,12.727272727272727
1648044,15.153846153846153
1648045,10.85
1648046,12.25
0222013,12.428571428571429
1110139,11.285714285714286
1648080,12.076923076923077
1012025,9.11111111111111
1012026,8.518518518518519
0222020,12.777777777777779
1110141,11.233333333333333
1012034,12.84
1110142,10.282051282051283
1648015,16.0
0114012,18.77952755905512
0114013,17.515418502202643
0114014,18.519607843137255
0222164,10.4
0114015,16.135802469135804
0114016,13.598440545808966
0114017,19.80263157894737
1531078,13.236842105263158
1648002,12.9375
1648016,15.0
1648017,10.424242424242424
1648018,10.65
1648019,11.857142857142858
1648020,16.25581395348837
1648021,10.9
1648022,9.352941176470589
0114020,13.625
0114021,18.21485623003195
0114022,18.692307692307693
0114023,14.297709923664122
0114031,18.16
0114032,13.943396226415095
0114033,19.056338028169016
1726026,10.647058823529411
0114034,13.911764705882353
0114035,13.882242990654206
