CMUN,D3
03016,0.8628580711679694
03017,0.9979716024340771
03018,0.9624138141436329
03019,0.9919327918103928
03020,0.859375
03021,0.9399311322788408
03022,0.7528089887640449
03023,0.9991097922848664
03024,0.9998095963442498
03025,0.9981863538187254
03026,0.9739483747609942
03027,0.9781420765027322
03028,0.9898856640281443
03029,0.8873626373626373
03030,0.998871131405378
03031,0.9830029029491324
03032,0.8467153284671532
03033,0.55
03034,0.9980176211453744
03035,1.0
03036,0.6619718309859155
03037,0.8683083511777302
03038,1.0
03039,0.97
03040,0.9766333410834689
03041,0.8878271707519734
03042,0.9700304168903203
03043,0.9959104606112785
03044,0.9970570012391575
03045,0.986784140969163
03046,0.05651846269781462
03047,0.8973592686966732
03048,0.9576295448038935
03049,0.994291986827662
03050,0.9861324523663184
03051,0.984375
03052,0.986449864498645
03053,0.9907807731434385
03054,0.7274436090225563
03055,0.8345450539766468
03056,0.9033644043110982
03057,0.6172566371681416
03058,0.9982108450316542
03059,0.9781663768891267
03060,0.9361702127659575
03061,0.002886002886002886
03062,0.8933420737036812
03063,0.9313136241655393
03064,0.9649171270718232
03065,0.9270294146593226
03066,0.9963006923837784
03067,0.934959349593496
03068,0.9873417721518988
03069,0.6376777929030162
03070,0.9650940823561495
03071,0.8847146449476607
03072,1.0
03073,1.0
03074,0.9994969818913481
03075,0.4136690647482014
03076,0.9916210184621626
03077,0.9521345407503234
03078,0.9990439770554493
03079,0.9961250105298628
03080,0.012830188679245283
03081,0.9563327111730132
03082,0.958557758137241
03083,0.874951904578684
03084,1.0
03085,0.9633366509781429
03086,0.8759952302329848
03088,0.8344554905391594
03089,0.8296783857684147
03090,0.9898564034062448
03091,1.0
03092,0.836135119091223
03093,0.9765793185361146
03094,0.9326868388542704
03095,0.9946422943586513
03096,1.0
03097,0.9812161371039015
03098,0.9591390160183066
03099,0.9764188185026935
03100,0.9876846796098095
03101,0.6934703650616679
03102,0.8829123932061824
03103,1.0
03104,0.886448700731647
03105,1.0
03106,0.9276206322795341
03107,0.9438932746059973
03109,1.0
03110,0.8602585167082075
03111,0.7339069376134275
03112,0.8643319052664773
03113,0.9877642536835362
03114,0.9533835451977646
03115,0.9834437086092715
03116,0.9867636344442212
03117,0.9857571214392803
03118,0.9905827827630411
03119,0.9945491913144491
03120,0.41005577408850835
03121,0.6276948616570218
03122,0.9858324832823303
03123,0.9787769784172662
03124,0.9401544401544402
03125,0.8571523794852348
03127,0.6587887740029542
03128,0.9575282801652087
03129,0.9567033157315783
03130,0.8636363636363636
03131,0.9911499735029148
03132,0.9315974640751371
03133,0.9989786285137621
03134,0.9824561403508771
03135,0.9038461538461539
03136,0.9890472667334727
03137,0.9363151288884349
03138,0.9769331716182172
03139,0.9484190354519323
03140,0.9891798312053668
03901,0.9458410351201478
