CTOT,W3
1726084,0.0
0222168,1.0
1046090,0.0
1046091,0.0
0222176,0.0
1012105,0.0
0222202,0.0
0118061,0.0
0118062,1.0
0118063,0.0
0118064,0.0
0118065,0.0
1012106,1.0
1012107,0.0
1012108,0.0
1012109,0.0
1012110,0.0
1726088,0.0
1726091,0.0
0222233,0.0
1110193,0.0
1726092,0.0
0709019,0.0
1110194,0.0
1110195,0.0
1110196,0.0
0118066,0.0
0244187,0.0
0118067,0.0
0118068,0.0
0118069,0.0
0250028,0.0
0118070,0.0
0118071,0.0
0118072,0.0
0118074,0.0
0118076,0.0
1012133,0.0
1110197,0.0
1012137,0.0
1012138,1.0
1012139,0.0
1110201,0.0
1110202,0.0
1012130,0.0
0250010,1.0
1110204,0.0
1110205,0.0
1110206,0.0
1012132,1.0
0222064,0.0
1012134,0.0
1012140,1.0
1012135,0.0
1012136,0.0
1012141,0.0
1046904,0.0
1106001,0.0
0118077,0.0
1012142,0.0
1012901,0.0
0118078,0.0
1726093,0.0
1046247,0.0
1046246,1.0
1726094,0.0
1726095,0.0
1726096,0.0
1106005,0.0
1106006,0.0
1106007,1.0
1726032,0.0
1726033,0.0
1726035,0.0
1046903,0.0
1726042,0.0
1106002,0.0
1106003,0.0
1106004,0.0
1106008,0.0
1106009,0.0
1726043,0.0
1106010,0.0
1726034,0.0
0118079,0.0
1726038,0.0
1726039,0.0
1726040,1.0
1726041,0.0
1726044,0.0
1726045,0.0
0118083,0.0
1531084,0.0
1531085,0.0
0747020,0.0
1726046,0.0
0118084,0.0
0118085,0.0
0118086,0.0
0118087,1.0
1531086,0.0
1531087,0.0
0244112,0.0
0118082,1.0
1726054,0.0
1726055,0.0
0250014,0.0
1726056,0.0
0118095,0.0
0250015,0.0
0118088,0.0
0118089,1.0
0118093,0.0
0118094,0.0
0118102,1.0
0118103,0.0
0118105,0.0
1726057,0.0
1726058,0.0
0118111,1.0
0118096,0.0
0118097,0.0
0118098,1.0
0118099,0.0
0118100,0.0
0118101,0.0
0118106,0.0
0118112,0.0
0118107,0.0
0118108,0.0
0118109,0.0
1726059,0.0
0118115,0.0
0709184,0.0
0118114,0.0
0709139,0.0
1726060,0.0
1726064,0.0
0118116,0.0
1726066,0.0
1726067,0.0
1726068,0.0
1601030,0.0
1726069,1.0
1726070,0.0
0250019,0.0
1726071,1.0
1726072,0.0
1106035,1.0
1106036,1.0
1726074,0.0
1601017,0.0
1601018,0.0
1601019,0.0
0709154,0.0
0709155,0.0
0118117,0.0
0709159,0.0
0118119,0.0
1726078,0.0
0244204,0.0
0118120,0.0
1726079,0.0
0118121,0.0
0118122,1.0
0118123,0.0
0118133,0.0
0118134,0.0
0118135,0.0
0118136,0.0
0118137,0.0
0118124,0.0
0118126,0.0
0118127,0.0
0118128,0.0
0118132,0.0
1601028,1.0
0118145,0.0
0118138,0.0
0118140,1.0
0118141,0.0
0118143,0.0
0118144,0.0
0724082,0.0
0118146,0.0
0118147,0.0
0118148,0.0
0118149,0.0
1601047,0.0
0118150,0.0
0244207,0.0
0118151,0.0
0118152,1.0
1601049,0.0
0118153,1.0
0118154,0.0
0118157,0.0
0118158,0.0
0118159,0.0
0118161,0.0
1601051,1.0
0244208,0.0
