CTOT,D1
0118194,1.0
0118901,1.0
0118908,1.0
0118902,1.0
1601056,1.0
0118903,1.0
0118904,1.0
1601057,1.0
0222088,1.0
0118905,1.0
1726099,1.0
0118906,1.0
0118907,1.0
0250259,1.0
0118909,1.0
0121033,1.0
0737123,1.0
0118910,1.0
0118911,1.0
0121048,1.0
0118912,1.0
0118913,1.0
0118914,1.0
0118915,1.0
0118916,1.0
0121002,1.0
0121003,1.0
0121004,1.0
0121005,1.0
0121006,1.0
0121007,1.0
0121008,1.0
0121001,1.0
0121009,1.0
0121010,1.0
0121011,1.0
0121012,1.0
0121013,1.0
0121059,1.0
0121060,1.0
0121014,1.0
0121019,1.0
0121015,1.0
0121026,1.0
0121016,1.0
0121017,1.0
0121018,1.0
0753041,0.0
0121020,1.0
0121021,1.0
0121022,1.0
0121023,1.0
1726098,1.0
0121027,1.0
0121028,1.0
0121029,1.0
0709243,1.0
0121024,1.0
0121025,1.0
0121030,1.0
0121031,1.0
0121032,1.0
0250260,1.0
0121034,1.0
0121035,1.0
0121066,1.0
0121036,1.0
0121037,1.0
1726100,1.0
0121038,1.0
0121039,1.0
0121040,1.0
0121041,1.0
0121042,1.0
1726101,1.0
0121043,1.0
0121044,1.0
0250261,1.0
0121045,1.0
0121046,1.0
0121047,1.0
0121049,1.0
0121050,1.0
0222206,1.0
0121051,1.0
0121052,1.0
0121053,1.0
0753042,0.0
0121054,1.0
0121055,1.0
0121056,1.0
0121057,1.0
0121058,1.0
1726161,1.0
0121061,1.0
0121062,1.0
0121063,1.0
0121064,1.0
0121065,1.0
0709244,1.0
0121067,1.0
0121068,1.0
0121069,1.0
0121070,1.0
0123031,1.0
0753043,0.0
0121071,1.0
0121072,1.0
0121073,1.0
1620008,1.0
0121074,1.0
1726107,1.0
0121075,1.0
0121076,1.0
0753044,0.0
0121077,1.0
0121078,1.0
0121079,1.0
0121902,1.0
0123001,1.0
0123002,1.0
0123003,1.0
1726110,1.0
0123004,1.0
0123005,1.0
0123006,1.0
1726111,1.0
0123007,1.0
0123008,1.0
0123009,1.0
0753045,0.0
0123010,1.0
0123011,1.0
0123012,1.0
1726112,1.0
0753046,0.0
0123014,1.0
1726113,1.0
0123015,1.0
1726114,1.0
0724002,1.0
0123016,1.0
0709070,1.0
0123017,1.0
0123018,1.0
0123019,1.0
0123020,1.0
0123021,1.0
0123024,1.0
0123025,1.0
1726115,1.0
1726117,1.0
0123026,1.0
0724007,1.0
0123027,1.0
0123028,1.0
0123029,1.0
1726118,1.0
0709073,1.0
0123030,1.0
0709079,1.0
0123032,1.0
0123035,1.0
0123033,1.0
1726119,1.0
0123060,1.0
0709082,1.0
0123034,1.0
0129020,1.0
0123037,1.0
0123038,1.0
0222212,1.0
1106051,1.0
0222177,1.0
0222213,1.0
0123039,1.0
0123040,1.0
1726120,1.0
0123041,1.0
1726121,1.0
0740081,1.0
0123042,1.0
0123043,1.0
1726122,1.0
0123044,1.0
0123045,1.0
0123046,1.0
0123047,1.0
0123048,1.0
0123049,1.0
0123050,1.0
0123051,1.0
0740082,1.0
0123052,1.0
1726123,1.0
0123053,1.0
0709115,1.0
0123054,1.0
0123055,1.0
1601058,1.0
1601059,1.0
0123056,1.0
1601060,1.0
0123057,1.0
1601061,1.0
0123058,1.0
0123059,1.0
0123061,1.0
1106111,1.0
0123062,1.0
0123063,1.0
0123064,1.0
0123065,1.0
0123066,1.0
0129058,1.0
0123067,1.0
1726124,1.0
0123069,1.0
0123070,1.0
0123071,1.0
1726125,1.0
0244116,1.0
0123072,1.0
0123073,1.0
0123074,1.0
0123075,1.0
0705025,1.0
0123076,1.0
0123077,1.0
0123079,1.0
0123080,1.0
0123081,1.0
0123082,1.0
0123084,1.0
0123085,1.0
0123086,1.0
0123087,1.0
0222234,1.0
0123088,1.0
0222242,1.0
0123090,1.0
1726126,1.0
0123091,1.0
0123092,1.0
0123093,1.0
0123094,1.0
0123095,1.0
0123096,1.0
0123097,1.0
0123098,1.0
0705026,1.0
0123099,1.0
0123101,1.0
1601062,1.0
0123901,1.0
0123902,1.0
0222243,1.0
0123903,1.0
0123904,1.0
0123905,1.0
0709160,1.0
0153050,0.0
1726127,1.0
0129001,1.0
1726128,1.0
0129002,1.0
